,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"3062","کشاورزی","امور باغی","پرورش دهنده کیوی","6-12/30/1/2","1","0","0","0","9","0","0","1","6","0","2","2","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","30","70","0","0","100","هیچ کدام","شغل",,"1390/04/01"
"3063","کشاورزی","امور باغی","تکثیر و پرورش نوین گل رز","6113/22/1","1","3","0","0","2","8","0","1","6","0","2","3","1","1","6","ندارد","دیپلم ","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/03/01"
"3064","کشاورزی","امور باغی","پرورش گل نرگس بهبهان","6111/43/1","1","2","0","0","2","8","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره ابتدایی","27","48","0","0","75","هیچ کدام","شایستگی",,"1392/03/01"
"3065","کشاورزی","امور باغی","پرورش دهنده گل محمدی","6-28/98/1/2","1","0","0","0","3","3","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","30","62","0","0","92","هیچ کدام","شغل",,"1390/04/01"
"3066","کشاورزی","امور باغی","پیوند زن درختان باغی","6-27/98/1/3","1","7","1","0","5","1","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","23","55","0","0","78","هیچ کدام","شایستگی",,"1390/04/01"
"3067","کشاورزی","امور باغی","پیوند زنی نهال گردو","6113-61-011-1","1","1","0","0","4","3","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","23","67","0","0","90","هیچ کدام","شایستگی","walnut tree grafting","1393/06/01"
"3068","کشاورزی","امور باغی","مدیریت پرورش گل در گلخانه","6113/25/1","1","7","0","0","8","3","0","1","6","0","2","2","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","31","0","0","53","هیچ کدام","شایستگی",,"1389/04/01"
"3069","کشاورزی","امور باغی","تکنسین ماهر کلینیک گیاه پزشکی","6111/40/1","1","0","0","0","6","0","0","1","6","0","3","2","4","1","3","ندارد","کاردانی کشاورزی (تمام گرایش ها)","30","90","0","0","120","هیچ کدام","شغل",,"1390/06/01"
"3070","کشاورزی","امور باغی","تولید نهال توت","6121/61/1","1","8","1","0","5","1","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","28","52","0","0","80","هیچ کدام","شایستگی",,"1391/08/01"
"3071","کشاورزی","امور باغی","طراحی و احداث کننده توتستان","6121/67/1","1","9","1","0","5","1","0","1","6","0","2","3","1","1","6","ندارد","کاردانی زراعت یا باغبانی یا نوغانداری","27","38","0","0","65","هیچ کدام","شایستگی",,"1391/08/01"
"3072","کشاورزی","امور باغی","متصدی کنترل آفات و بیماری های توت","6121/65/1","1","1","0","0","3","0","0","1","6","0","3","2","4","1","3","ندارد","کاردانی کشاورزی کلیه گرایشها یا نوغانداری یا گیاه پزشکی","21","20","0","0","41","هیچ کدام","شایستگی","Operator of mulberr y pest and disease contoro","1391/08/01"
"3073","کشاورزی","امور باغی","تکنسین توتستان","6121/60/1","1","0","0","0","3","0","0","1","6","0","3","2","4","1","3","ندارد","کار دانی کشاورزی با گرایش باغبانی یا زراعت یا دامپروری","48","52","0","0","100","هیچ کدام","شغل","Mulberry farm  manager","1391/08/01"
"3074","کشاورزی","امور باغی","ازدیاد مو","6113/23/1","1","1","0","0","7","5","0","1","6","0","2","2","1","1","6","ندارد","کاردانی کشاورزی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/03/03"
"3075","کشاورزی","امور باغی","موکاری و مدیریت تاکستان","6113-61-065-1","1","2","0","0","7","5","0","1","6","0","3","2","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","26","48","0","0","74","هیچ کدام","شایستگی",,"1394/12/01"
"3076","کشاورزی","امور باغی","توليد كننده گل های پيازی در فضای آزاد  ","6-27/43/1/3","1","0","0","0","9","5","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","35","57","0","0","92","هیچ کدام","شغل",,"1392/11/02"
"3077","کشاورزی","امور باغی","پرورش کاکتوس ها (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/6","1","1","0","0","3","7","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","60","182","0","0","242","هیچ کدام","شایستگی",,"1392/11/01"
"3078","کشاورزی","امور باغی","طراح و مجري احداث گلخانه","6-72/13/1/2","1","0","0","0","1","1","0","1","6","0","3","2","4","1","3","ندارد","فوق دیپلم کشاورزی","45","127","0","0","172","هیچ کدام","شغل",,"1392/11/02"
"3079","کشاورزی","امور باغی","تکنسین تغذيه و بهداشت باغات","6113-61-002-2","1","0","0","0","4","0","0","1","6","0","3","2","4","1","3","ندارد","دیپلم کشاورزی","68","36","0","0","104","هیچ کدام","شغل",,"1388/08/01"
"3080","کشاورزی","امور باغی","توليد كننده گل های شاخه بريده","6113-61-053-1","1","0","0","0","5","6","0","1","6","0","2","3","1","1","6","کشت کار گلخانه ای","پایان دوره اول متوسطه(پایان دوره راهنمایی)","55","114","0","0","169","هیچ کدام","شغل",,"1393/07/01"
"3081","کشاورزی","امور باغی","كارور كشت بافت درختان چوبی","6113-61-050-1","1","0","0","0","6","6","0","1","6","0","2","3","1","1","6","ندارد","کاردانی تولیدات گیاهی یا کشاورزی","46","92","0","0","138","هیچ کدام","شغل","Tissue Culture User of Tree","1393/07/01"
"3082","کشاورزی","امور باغی","ناظر نخيلات","6113-61-001-2","1","0","0","0","0","1","0","1","6","0","3","2","4","1","3","پرورش دهنده خرما","کاردانی کشاورزی یا تولیدات گیاهی","72","160","0","0","232","هیچ کدام","شغل","SUPERVISER PALM","1393/08/01"
"3083","کشاورزی","امور باغی","مبارزه با آفات و بيماري هاي درخت خرما","6111-61-017-1","1","1","0","0","6","0","0","1","6","0","2","2","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","90","190","0","0","280","هیچ کدام","شایستگی","Fighting Pests and diseases of date palm","1394/05/01"
"3084","کشاورزی","امور باغی","پرورش دهنده گیاهان آپارتمانی در منزل","6113-61-060-1","1","1","0","0","2","6","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره ابتدایی","31","36","0","0","67","هیچ کدام","شایستگی","Grower of house plants","1394/10/20"
"3085","کشاورزی","امور باغی","کشت و پرورش دهنده درخت سدر (کنار)","6113-61-061-1","1","3","0","0","5","1","0","1","6","0","2","2","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","60","0","0","82","هیچ کدام","شایستگی","Guidelines for Cultvation of Konnar","1394/11/01"
"3086","کشاورزی","امور باغی","هرس کار","6113-61-062-1","1","0","0","0","6","7","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","41","66","0","0","107","هیچ کدام","شغل","PRUNINGER","1394/12/01"
"3087","کشاورزی","امور باغی","هرس سبک با ابزار ساده (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/30","1","1","0","0","6","7","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3088","کشاورزی","امور باغی","فرآوری مواد آلی گیاهی (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/22","1","1","0","0","7","7","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3089","کشاورزی","امور باغی","تکنسین تولید گلخانه های آئروپونیک (هوا کشت)","6111-62-005-1","1","0","0","0","5","0","0","1","6","0","3","2","4","1","3","ندارد","کاردانی","42","93","0","0","135","هیچ کدام","شغل","Areoponics","1394/12/01"
"3090","کشاورزی","امور باغی","پرورش انواع شمعدانی","6111-62-001-1","1","4","0","0","0","8","0","1","6","0","2","3","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","20","40","0","0","60","هیچ کدام","شایستگی","Geranium-farmers","1394/12/01"
"3091","کشاورزی","امور زراعی","تولید کننده نشاء صیفی","6-12/12/1/2","1","0","0","0","2","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","43","63","0","0","106","هیچ کدام","شغل",,"1390/04/01"
"3092","کشاورزی","امور زراعی","فروشنده سموم دفع آفات نباتی","6-23/32/1/1","1","0","0","0","3","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","35","68","0","0","103","هیچ کدام","شغل",,"1388/01/01"
"3093","کشاورزی","امور زراعی","کشت کار حبوبات ","6-12/20/1/1","1","0","0","0","4","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","43","68","0","0","111","هیچ کدام","شغل",,"1388/01/01"
"3094","کشاورزی","امور زراعی","کشت کار سیب زمینی","6-22/90/1/1","1","0","0","0","5","4","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","47","53","0","0","100","هیچ کدام","شغل",,"1388/01/01"
"3095","کشاورزی","امور زراعی","آزمایشگر خاک و گیاه","1311/6/1","1","0","0","0","3","0","0","2","6","0","3","2","4","1","3","ندارد","کارشناسی کشاورزی-زراعت و خاک","35","95","0","0","130","هیچ کدام","شغل",,"1389/09/01"
"3096","کشاورزی","امور زراعی","دسته بند و بسته بند زعفران","6113/47/1","1","0","0","0","3","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","25","75","0","0","100","هیچ کدام","شغل",,"1390/03/01"
"3097","کشاورزی","امور زراعی","کارگر دستگاه پنبه چین","6113/43/1","1","0","0","0","6","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","20","70","0","0","90","هیچ کدام","شغل",,"1390/03/01"
"3098","کشاورزی","امور زراعی","برنج کار","6-27/94/1/3","1","0","0","0","7","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","114","42","0","0","156","هیچ کدام","شغل",,"1390/04/01"
"3099","کشاورزی","امور زراعی","برنج کاری به روش بذرکاری مستقیم","6113/52/1","1","1","0","0","7","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","21","52","0","0","73","هیچ کدام","شایستگی",,"1390/03/01"
"3100","کشاورزی","امور زراعی","تولید کننده جوانه های خوراکی","6-27/94/1/2","1","0","0","0","8","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","51","62","0","0","113","هیچ کدام","شغل",,"1390/04/01"
"3101","کشاورزی","امور زراعی","تولید کننده چغندر قند","6-12/22/1/2","1","0","0","0","9","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","26","74","0","0","100","هیچ کدام","شغل",,"1390/04/01"
"3102","کشاورزی","امور زراعی","تولید کننده نباتات علوفه ای","6-22/25/1/2","1","0","0","0","0","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","42","152","0","0","194","هیچ کدام","شغل",,"1390/04/01"
"3103","کشاورزی","امور زراعی","دیم کار","6113/69/1","1","0","0","0","1","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","30","88","0","0","118","هیچ کدام","شغل",,"1390/04/01"
"3104","کشاورزی","امور زراعی","زراعت کار درجه 1","6-22/11/1/3","1","0","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","96","384","0","0","480","هیچ کدام","شغل",,"1395/01/20"
"3105","کشاورزی","امور زراعی","عملیات سله کشی و خاک دهی پای بوته ها (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/18","1","1","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3106","کشاورزی","امور زراعی","عملیات تنک و واکاری (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/20","1","2","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3107","کشاورزی","امور زراعی","عملیات وجین علف های هرز (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/19","1","3","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3108","کشاورزی","امور زراعی","عملیات جمع آوری محصول (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/17","1","4","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3109","کشاورزی","امور زراعی","آبیاری (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/31","1","5","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3110","کشاورزی","امور زراعی","برداشت محصولات کشاورزی (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/5","1","6","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","16","50","0","0","66","هیچ کدام","شایستگی",,"1392/11/01"
"3111","کشاورزی","امور زراعی","زراعت کار جو","6113-61-010-1","1","3","0","0","1","2","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","31","60","0","0","91","هیچ کدام","شایستگی",,"1393/06/01"
"3112","کشاورزی","امور زراعی","زراعت سودان گراس","6111/49/1","1","8","0","0","1","2","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","19","41","0","0","60","هیچ کدام","شایستگی",,"1392/03/01"
"3113","کشاورزی","امور زراعی","تولید کننده ژوت ","6113/70/1","1","0","0","0","5","1","0","2","6","0","2","1","1","1","6","ندارد","کاردانی کشاورزی با گرایش تولیدات گیاهی","36","69","0","0","105","هیچ کدام","شغل",,"1390/04/01"
"3114","کشاورزی","امور زراعی","تولید کننده کتان","6113/71/1","1","0","0","0","6","1","0","2","6","0","2","1","1","1","6","ندارد","کاردانی کشاورزی با گرایش تولیدات گیاهی","36","69","0","0","105","هیچ کدام","شغل",,"1390/04/01"
"3115","کشاورزی","امور زراعی","زراعت کار ","6-22/11/2/3","1","0","0","0","1","2","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","34","80","0","0","114","هیچ کدام","شغل",,"1390/04/01"
"3116","کشاورزی","امور زراعی","تکنسین کنترل و گواهی بذر","6113/72/1","1","0","0","0","2","0","0","2","6","0","3","2","4","1","3","ندارد","کاردانی کشاورزی با گرایش تولیدات گیاهی","29","106","0","0","135","هیچ کدام","شغل",,"1390/04/01"
"3117","کشاورزی","امور زراعی","سبزی کار","6-22/29/1/3","1","0","0","0","8","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","60","94","0","0","154","هیچ کدام","شغل",,"1390/04/01"
"3118","کشاورزی","امور زراعی","زراعت کار باقلا","6113/38/1","1","2","0","0","1","2","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","25","65","0","0","90","هیچ کدام","شایستگی",,"1390/03/01"
"3119","کشاورزی","امور زراعی","زراعت بامیه","6111/48/1","1","1","0","0","1","2","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","13","46","0","0","59","هیچ کدام","شایستگی",,"1392/03/01"
"3120","کشاورزی","امور زراعی","سبزی کاری (خاص دانش آموزان با نیازهای ویژه)","6112/100/‏و‎/14","1","2","0","0","8","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","60","182","0","0","242","هیچ کدام","شایستگی",,"1394/11/01"
"3121","کشاورزی","امور زراعی","تولید ارگانیک سبزیجات در منازل شهری","6113-61-121-1","1","5","0","0","8","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","17","33","0","0","50","هیچ کدام","شایستگی",,"1393/11/01"
"3122","کشاورزی","امور زراعی"," آفت کشی بیولوژیک پایه نماتود","6111/39/1","1","1","0","0","1","0","0","2","6","0","3","2","4","1","3","ندارد","کاردانی کشاورزی","40","95","0","0","135","هیچ کدام","شایستگی",,"1390/06/01"
"3123","کشاورزی","امور زراعی","آفت کشی بیولوژیک انسکتاریوم","6111/38/1","1","2","0","0","1","0","0","2","6","0","3","2","4","1","3","ندارد","کاردانی کشاورزی","39","76","0","0","115","هیچ کدام","شایستگی",,"1390/06/01"
"3124","کشاورزی","امور زراعی","کارگر مسئول تست و توزیع سموم گیاهی","6111/42/1","1","0","0","0","1","3","0","2","6","0","2","1","1","1","6","ندارد","دیپلم فنی کشاورزی","39","66","0","0","105","هیچ کدام","شغل",,"1390/06/01"
"3125","کشاورزی","امور زراعی","تولیدکننده بذر پیاز","6113/90/1","1","0","0","0","2","3","0","2","6","0","2","1","1","1","6","ندارد","دیپلم","61","49","0","0","110","هیچ کدام","شغل",,"1391/06/01"
"3126","کشاورزی","امور زراعی","تولیدکننده، فرآوری و بسته بندی انواع جوانه های گندم، ماش و عدس","6113/81/1","1","0","0","0","3","3","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","43","62","0","0","105","هیچ کدام","شغل",,"1391/06/01"
"3127","کشاورزی","امور زراعی","درجه بندی و بسته بندی محصولات زراعی","6113/85/1","1","0","0","0","4","3","0","2","6","0","2","1","1","1","6","ندارد","کاردانی کشاورزی یا صنایع غذایی","58","69","0","0","127","هیچ کدام","شغل",,"1391/06/01"
"3128","کشاورزی","امور زراعی","خاک ورزی (خاص دانش آموزان با نيازهای ويژه)","6112/100/‏و‎/13","1","8","0","0","2","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","22","66","0","0","88","هیچ کدام","شایستگی",,"1392/11/01"
"3129","کشاورزی","امور زراعی","زراعت كار به ليمو","6111-61-010-1","1","0","0","0","6","3","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","46","92","0","0","138","هیچ کدام","شغل",,"1393/08/01"
"3130","کشاورزی","امور زراعی","زراعت كار گوجه فرنگی","6111-61-011-1","1","0","0","0","7","3","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","43","79","0","0","122","هیچ کدام","شغل",,"1393/08/01"
"3131","کشاورزی","امور زراعی","دفع کننده پروانه مینوز گوجه فرنگی","6111-62-065-1","1","1","0","0","7","3","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","30","50","0","0","80","هیچ کدام","شایستگی",,"1395/01/21"
"3132","کشاورزی","امور زراعی","علوفه كار نوين","6111-61-012-1","1","0","0","0","9","3","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","39","61","0","0","100","هیچ کدام","شغل",,"1394/01/01"
"3133","کشاورزی","امور زراعی","كشت كار نخود ديم","6111-61-015-1","1","0","0","0","0","4","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","41","60","0","0","101","هیچ کدام","شغل",,"1394/01/01"
"3134","کشاورزی","امور زراعی","سبزی کاری در منزل","6111-62-021-2","1","1","0","0","8","1","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره ابتدایی","36","37","0","0","73","هیچ کدام","شایستگی",,"1394/11/01"
"3135","کشاورزی","امور زراعی","زعفران کار","6111-62-007-1","1","0","0","0","3","4","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","48","102","0","0","150","هیچ کدام","شغل",,"1394/12/01"
"3136","کشاورزی","امور زراعی","كشت موسير","6111-62-003-1","1","0","0","0","4","4","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","35","65","0","0","100","هیچ کدام","شغل",,"1394/12/01"
"3137","کشاورزی","امور زراعی","زراعت کار برنج قهوه ای","6111-62-071-1","1","2","0","0","7","0","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","42","86","0","0","128","هیچ کدام","شایستگی",,"1395/01/20"
"3138","کشاورزی","امور زراعی","کشت کار گندم","6111-62-070-1","1","0","0","0","8","4","0","2","6","0","2","1","1","1","6","ندارد","پایان دوره اول متوسطه(پایان دوره راهنمایی)","47","54","0","0","101","هیچ کدام","شغل",,"1395/03/01"
"3139","کشاورزی","امور زراعی","ناظر مزارع گندم","6111/11/1","1","0","0","0","9","4","0","2","6","0","2","1","1","1","6","ندارد","کارشناسی کشاورزی","48","65","0","0","113","هیچ کدام","شغل",,"1392/03/01"
"3140","کشاورزی","امور زراعی","مدير عامل شركت تعاونی توليد روستايی و سهامی زراعی","6112/130/1","1","0","0","0","1","0","0","2","6","0","3","1","1","3","1","ندارد","کارشناسی کشاورزی","90","270","120","0","480","هیچ کدام","شغل",,"1392/12/01"
"3141","کشاورزی","امور زراعی","مبانی مدیریت عامل شرکت تعاونی تولید روستایی و سهامی زراعی","6112-61-080-1","1","1","0","0","1","0","0","2","6","0","3","1","1","3","1","ندارد","کارشناسی کشاورزی","23","23","0","0","46","هیچ کدام","شایستگی",,"1394/05/12"
"3142","صنعت","فناوری هوایی","سازنده هواپیماهای مدل قابل پرواز","7232-109-001-1","1","0","0","0","1","0","0","2","3","0","2","2","3","2","7","ندارد","دیپلم","71","135","0","0","206","هیچ کدام","شغل",,"1393/06/01"
"3143","صنعت","حمل ونقل دریایی","پذیرش انواع کانتینر","3152-13-001-3","1","1","0","0","0","0","0","2","1","0","2","3","2","3","4","ندارد","دیپلم","12","8","0","0","20","هیچ کدام","شایستگی",,"1394/09/25"
"3144","صنعت","پلیمر","توزين كننده مواد جهت بنبوري در لاستيك سازي","3-91/62/1/2","1","0","0","0","1","0","0","6","2","0","2","1","3","1","8","ندارد","پايان دوره راهنمايي","52","91","0","0","143","هیچ کدام","شغل",,"1363/03/01"
"3145","صنعت","پتروشیمی","لوله کشی صنعت نفت","0-25/90/1/2/1","1","0","0","0","6","1","0","3","2","0","2","1","3","1","8","ندارد","پایان دوره راهنمایی","46","119","0","0","165","هیچ کدام","شغل",,"1394/02/01"
"3146","صنعت","پتروشیمی","نصاب تجهیزات پالایشگاهی","0-25/90/1/1/1","1","0","0","0","7","1","0","3","2","0","2","1","3","1","8","ندارد","پایان دوره راهنمایی","32","88","0","0","120","هیچ کدام","شغل",,"1394/02/01"
"3147","صنعت","پتروشیمی","لوله کشی لوله های پلیمری در صنعت نفت","0-25/90/1/3/1","1","0","0","0","8","1","0","3","2","0","2","1","3","1","8","ندارد","پایان دوره راهنمایی","34","86","0","0","120","هیچ کدام","شغل",,"1394/02/01"
"3148","کشاورزی","گياهان دارويي و داروهای گیاهی","كارشناس كشت بافت گياهان دارويي","6112/150/1","1","0","0","0","1","0","0","5","0","1","3","1","4","1","3",,"ليسانس بيوتكنولوژي يا رشته هاي كشاورزي","40","80","0","0","120","هیچ کدام","شغل",,"1393/04/01"
"3149","کشاورزی","گياهان دارويي و داروهای گیاهی","اپراتور کنترل تولید و تخلیه اسانس از مخازن","6112/14/1","1","0","0","0","3","0","0","5","0","1","3","3","3","1","3","ندارد","ديپلم-كارداني توليد و بهره برداري از گياهان داروي","41","80","100","0","221","هیچ کدام","شغل",,"1393/04/01"
"3150","کشاورزی","گياهان دارويي و داروهای گیاهی","انباردار گياهان دارويي","6112/112/1","1","0","0","0","4","0","0","5","0","1","2","1","2","3","4","ندارد","ليسانس حسابداري- مديريت بازرگاني-توليد و بهره برداري از گياهان دارويي و معطر","27","92","100","1393","1612","هیچ کدام","شغل",,"1393/04/01"
"3151","کشاورزی","گياهان دارويي و داروهای گیاهی","بازرس فرآیند تولید گیاهان دارویی ارگانیک","6112/78/1","1","0","0","0","7","0","0","5","0","1","3","2","2","1","3","ندارد","ليسانس كشاورزي-بازرگاني - مديريت","105","125","24","0","254","هیچ کدام","شغل",,"1393/04/01"
"3152","کشاورزی","گياهان دارويي و داروهای گیاهی","بهره بردار بذور گياهان دارويي","6112/145/1","1","0","0","0","8","0","0","5","0","1","4","9","6","2","2","ندارد","پايان دوره راهنمايي","65","88","0","0","153","هیچ کدام","شغل",,"1393/04/01"
"3153","کشاورزی","گياهان دارويي و داروهای گیاهی","بهره بردار گیاهان دارویی برگی","6112/146/1","1","0","0","0","9","0","0","5","0","1","4","9","6","2","2","ندارد","پايان دوره راهنمايي","52","90","0","0","142","هیچ کدام","شغل",,"1393/04/01"
"3154","کشاورزی","گياهان دارويي و داروهای گیاهی","بهره بردار گیاهان دارویی ريشه اي","6112/147/1","1","0","0","0","0","1","0","5","0","1","4","9","6","2","2","ندارد","پايان دوره راهنمايي","62","88","0","0","150","هیچ کدام","شغل",,"1393/04/01"
"3155","کشاورزی","گياهان دارويي و داروهای گیاهی","بهره بردار گياهان دارويي- شيرابه اي- صمغي و مان ها","6112/148/1","1","0","0","0","1","1","0","5","0","1","4","9","6","2","2","ندارد","پايان دوره راهنمايي","65","95","0","0","160","هیچ کدام","شغل",,"1393/04/01"
"3156","کشاورزی","گياهان دارويي و داروهای گیاهی","بهره بردار گياهان دارويي- مرتعي و جنگلي","6112/149/1","1","0","0","0","2","1","0","5","0","1","4","9","6","2","2","ندارد","پايان دوره راهنمايي","52","123","0","0","175","هیچ کدام","شغل",,"1393/04/01"
"3157","کشاورزی","گياهان دارويي و داروهای گیاهی","تكنسين آزمايشگاه ميكروبي داروها و فراورده هاي گياهان دارويي","6112/110/1","1","0","0","0","4","1","0","5","0","1","3","3","3","1","3","ندارد","كارداني ميكروبيولوژي و علوم آزمايشگاهي","27","61","100","0","188","هیچ کدام","شغل",,"1393/04/01"
"3158","کشاورزی","گياهان دارويي و داروهای گیاهی","تكنسين نگهداري و تعميرات خط توليد مايعات گياهان دارويي","6112/113/1","1","0","0","0","5","1","0","5","0","1","3","3","3","1","3","ندارد","مهندسي مكانيك- برق- الكترونيك-ساخت و توليد","37","94","100","0","231","هیچ کدام","شغل",,"1393/04/01"
